id;question_type;score;grade_level;difficult;correct;info_text_content_id;create_by;create_date;status;deleted
1;Brand;68907;53635;46038;Cambridgeshire incremental calculate;19435;systematic system-worthy;2021-10-20T02:48:56;46998;true
2;e-services Ergonomic;85216;73633;67087;interface ubiquitous convergence;16672;sensor;2021-10-20T03:50:47;26651;true
3;drive;63563;94228;28104;open-source;19957;Industrial withdrawal;2021-10-19T11:35:39;62319;false
4;transmit utilisation;61305;8046;53961;ivory navigating best-of-breed;80822;Credit;2021-10-19T12:03:24;571;false
5;red Account Way;91635;64529;52990;calculate Practical Alabama;81342;Nigeria asynchronous Dam;2021-10-19T13:20:38;67239;false
6;Mouse;41930;46705;90128;De-engineered green Down-sized;83259;Corporate Specialist;2021-10-19T14:25:44;57610;true
7;Adaptive;44161;98199;70167;Engineer Public-key Tactics;52850;programming De-engineered sensor;2021-10-19T08:58:07;1462;true
8;Strategist Kip Keyboard;26137;82795;49464;payment;47015;Small system Right-sized;2021-10-20T05:13:17;82383;true
9;transform;60087;32315;8114;Station withdrawal;41391;Expanded capacity;2021-10-20T01:30:55;44821;false
10;Chips;86757;40164;96796;optical transmit;13260;Steel;2021-10-19T09:35:24;89292;true
